category_id,category_name,channel_id,country,followers,join_date,location,picture_url,profile_url,title,trailer_title,trailer_url,videos
24,Entertainment,UCX52tYZiEh_mHoFja3Veciw,India,15031520,39140,,https://yt3.ggpht.com/a-/AN66SAxE-kGrCx-nNtM09Q7vRSMlGOX9dJdlFc0wWQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCX52tYZiEh_mHoFja3Veciw,Eros Now,SMOKE Episode 1 | An Eros Now Original Series | Watch All Episodes On Eros Now,https://www.youtube.com/watch?v=jqW3d76HYNI,9890
22,People & Blogs,UC-SV8-bUJfXjrRMnp7F8Wzw,United States,14990695,41498,,https://yt3.ggpht.com/a-/AN66SAyRHwUD70OTw7CSOngbC1fsGn4xx8DJDeoYOQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC-SV8-bUJfXjrRMnp7F8Wzw,RomanAtwoodVlogs,Our Dream Wedding!!,https://www.youtube.com/watch?v=FhId1AHmZZ0,1561
24,Entertainment,UCG8rbF3g2AMX70yOd8vqIZg,United States,18598950,42245,,https://yt3.ggpht.com/a-/AN66SAwruqLnzpt4no87PNh08uLQw6zMSTrOfrOr8A=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,THE THINNING: NEW WORLD ORDER,https://www.youtube.com/watch?v=BGoYFpHG0lg,572
10,Music,UC22nIfOTM7KLIQuFGMKzQbg,India,18280457,41941,,https://yt3.ggpht.com/a-/AN66SAxjgMJakzi6iC_a9BOfv_uUmD4xVGoRw4v9bQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC22nIfOTM7KLIQuFGMKzQbg,Wave Music,माँ बेटे का बहुत दर्द भरा छठ गीत 2018 - कुछ ना होई हमर माई के - Babua Nitish - Bhojpuri Chhath Geet,https://www.youtube.com/watch?v=heZpc1W_v-I,16794
26,Howto & Style,UCWRV5AVOlKJR1Flvgt310Cw,Great-Britain,11979930,39115,,https://yt3.ggpht.com/a-/AN66SAyu8yJdhl5-IrTvtfjSQ-QGnwIbTBPHxRPmOw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCWRV5AVOlKJR1Flvgt310Cw,Zoella,Ultimate Pizza Taste Test With Mark | Zoella,https://www.youtube.com/watch?v=xSGu_Ervro0,377
24,Entertainment,UCmL1WlDI8UkXDXCXcBQN9CA,India,11822106,40107,,https://yt3.ggpht.com/a-/AN66SAxvNAk2hJA63VOg8yT0nu23Z94ZNHQCKbIX=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCmL1WlDI8UkXDXCXcBQN9CA,Ultra Bollywood,Govinda Title Song Rangeela Raja | Benny Dayal | Pahlaj Nihalani | Ishwar Kumar,https://www.youtube.com/watch?v=w-R89G8k7O8,10699
24,Entertainment,UCstEtN0pgOmCf02EdXsGChw,Philippines,13667378,39645,,https://yt3.ggpht.com/a-/AN66SAwzsJ3RYlMJYwT2v9F2_PTY99eZl5lLfUwkKQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCstEtN0pgOmCf02EdXsGChw,ABS-CBN Entertainment,Ngayon At Kailanman Recap: Dom and Inno's competition to win Eva's heart,https://www.youtube.com/watch?v=HYo523HejIc,106142
24,Entertainment,UCrFiA0hztL9e8zTi_qBuW4w,United States,13428827,41352,,https://yt3.ggpht.com/a-/AN66SAyZ1_ytdXM07YLIdb2gE_6jVqQUiShopwu6bw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCrFiA0hztL9e8zTi_qBuW4w,EeOneGuy,МОЕ ПРОИСХОЖДЕНИЕ  | ДНК ТЕСТ,https://www.youtube.com/watch?v=D8lbsqBiU30,315
1,Film and Animation,UCyoXW-Dse7fURq30EWl_CUA,India,16658705,40929,,https://yt3.ggpht.com/a-/AN66SAwPjWeaCOpKmgErJ5a5WTPGtRX4rI6iaOl_eA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA,Goldmines Telefilms,"Meri Awargi (Paruthiveeran) 2018 New Released Hindi Dubbed Full Movie | Karthi, Priyamani",https://www.youtube.com/watch?v=EFNKX1_bjdU,308
10,Music,UCq3Ci-h945sbEYXpVlw7rJg,United States,16603879,41174,,https://yt3.ggpht.com/a-/AN66SAwDHvvZTueffT1EsWElBgmvBY-MZnycQdLmNw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCq3Ci-h945sbEYXpVlw7rJg,The Chainsmokers,The Chainsmokers - This Feeling (Lyric Video) ft. Kelsea Ballerini,https://www.youtube.com/watch?v=YuPzpoC3QNc,137
17,Sports,UCVtFOytbRpEvzLjvqGG5gxQ,Great-Britain,19752270,40019,,https://yt3.ggpht.com/a-/AN66SAwCva9c7oWcHm7ZDHQecWHEly0oPhE5T2s5Vw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCVtFOytbRpEvzLjvqGG5gxQ,KSI,KSI - ON POINT (LOGAN PAUL DISS TRACK),https://www.youtube.com/watch?v=TofmKTHkAGE,1169
20,Gaming,UCAW-NpUFkMyCNrvRSSGIvDQ,United States,19645222,40858,,https://yt3.ggpht.com/a-/AN66SAwl_LnL7rCVjo6Sb4Yfep6IoBo8eQLy47s-QA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ,Ninja,The God Squad is Back With The *NEW* Dante and Rosa Skins!!,https://www.youtube.com/watch?v=chjjGMAC0Tk,773
1,Film and Animation,UCDLmS9vkPcTz3cAc-c9QIzg,United States,8264999,40790,,https://yt3.ggpht.com/a-/AN66SAy8WA3UfsBVIEHlVJOjbdMbNGbYWJLKBt0JuA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCDLmS9vkPcTz3cAc-c9QIzg,Tanner Fox,IT'S FINALLY DONE! (GUACZILLA 2.0 REVEAL),https://www.youtube.com/watch?v=JcgvQSZyMi4,1007
23,Comedy,UC7eHZXheF8nVOfwB2PEslMw,India,8258762,40000,,https://yt3.ggpht.com/a-/AN66SAwzgSJ9O7ykk1ThBC10D2zlhQXOeTFLvcTnow=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC7eHZXheF8nVOfwB2PEslMw,ashish chanchlani vines,Baap Bijli Aur Bill Ft. Shahid Kapoor | Ashish Chanchlani,https://www.youtube.com/watch?v=KEHV90TfFm8,121
20,Gaming,UCC-RHF_77zQdKcA75hr5oTQ,United States,8736885,41418,,https://yt3.ggpht.com/a-/AN66SAwt64YgSvjFwjKe2XZ5ooZkVrHokVKCkOINyA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCC-RHF_77zQdKcA75hr5oTQ,FGTeeV,BENDY & the INK MACHINE Chapter 5! The END of FGTEEV + BENDY! (Secrets on the Wall),https://www.youtube.com/watch?v=di3QHoYCEF4,1185
10,Music,UCe4LM_eKc9ywRmVuBm5pjQg,United States,8680837,39066,,https://yt3.ggpht.com/a-/AN66SAweXFpeM2xUeRb0vbB_VagM0SQthmyOaB3L5Q=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCe4LM_eKc9ywRmVuBm5pjQg,Atlantic Records,Nikki Vianna - Done (Performance Video),https://www.youtube.com/watch?v=mWqXHg7w_eY,1051
10,Music,UCNhqvQMXIgRfjAGmxQqdNRw,Saudi Arabia,9112841,40918,,https://yt3.ggpht.com/a-/AN66SAx622JiX3uk7pGT61rcEw11h7D3GayTvZ5bGg=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCNhqvQMXIgRfjAGmxQqdNRw,Rotana,Assala ... El Haqiqa - Lyrics Video | أصالة ... الحقيقة - بالكلمات,https://www.youtube.com/watch?v=Yaif4LT-IqE,5711
17,Sports,UCKvn9VBLAiLiYL4FFJHri6g,Great-Britain,9073178,40642,,https://yt3.ggpht.com/a-/AN66SAzX9rQ6exaKJN4qqDtCdeJLHSin1uwZUYSg_Q=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCKvn9VBLAiLiYL4FFJHri6g,F2Freestylers - Ultimate Soccer Skills Channel,INSANE FOOTBALL/SOCCER TRICK SHOTS | F2FREESTYLERS,https://www.youtube.com/watch?v=ZTi-Tn2naY8,566
